Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
ExtraTreesClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6058,0.7490,0.5798,0.7385,0.5757,0.7320,0.6059,0.7509,0.5854,0.7321,0.5798,0.7385,0.5539,0.7280,0.5666,0.7332
ExtraTreesClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.6593,0.7957,0.4939,0.6847,0.4843,0.6991,0.6356,0.7851,0.4830,0.7292,0.4939,0.6847,0.3285,0.5738,0.4019,0.6267
ExtraTreesClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
ExtraTreesClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.5962,0.7311,0.5210,0.7034,0.5127,0.6764,0.6144,0.7434,0.5170,0.6697,0.5210,0.7034,0.4458,0.6757,0.4817,0.6893
ExtraTreesClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
ExtraTreesClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.5784,0.7246,0.5483,0.7294,0.5234,0.6838,0.6047,0.7411,0.5369,0.6794,0.5483,0.7294,0.5182,0.7342,0.5328,0.7318
ExtraTreesClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.6593,0.7957,0.4939,0.6847,0.4843,0.6991,0.6356,0.7851,0.4830,0.7292,0.4939,0.6847,0.3285,0.5738,0.4019,0.6267
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.5962,0.7311,0.5210,0.7034,0.5127,0.6764,0.6144,0.7434,0.5170,0.6697,0.5210,0.7034,0.4458,0.6757,0.4817,0.6893
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.7500,0.7644,0.4982,0.5236,0.4286,0.4773,0.6452,0.6731,0.3760,0.8808,0.4982,0.5236,0.2463,0.2828,0.3503,0.3848
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.5784,0.7246,0.5483,0.7294,0.5234,0.6838,0.6047,0.7411,0.5369,0.6794,0.5483,0.7294,0.5182,0.7342,0.5328,0.7318
ExtraTreesClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.5949,0.7836,0.5165,0.7676,0.5042,0.7378,0.6085,0.7920,0.5131,0.7366,0.5165,0.7676,0.4381,0.7517,0.4748,0.7593
HistGradientBoostingClassifier,3 Classes / Normal / No Scaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,3 Classes / Normal / StandardScaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.4025,1.0000,0.3755,1.0000,0.3668,1.0000,0.3890,1.0000,0.3697,1.0000,0.3755,1.0000,0.6703,1.0000,0.5012,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.6112,1.0000,0.5583,1.0000,0.5593,1.0000,0.6022,1.0000,0.5687,1.0000,0.5583,1.0000,0.5054,1.0000,0.5312,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.6195,1.0000,0.5707,1.0000,0.5715,1.0000,0.6119,1.0000,0.5803,1.0000,0.5707,1.0000,0.5220,1.0000,0.5458,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE,0.6154,1.0000,0.5735,1.0000,0.5731,1.0000,0.6107,1.0000,0.5796,1.0000,0.5735,1.0000,0.5317,1.0000,0.5521,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE,0.6112,1.0000,0.5583,1.0000,0.5593,1.0000,0.6022,1.0000,0.5687,1.0000,0.5583,1.0000,0.5054,1.0000,0.5312,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE,0.6195,1.0000,0.5707,1.0000,0.5715,1.0000,0.6119,1.0000,0.5803,1.0000,0.5707,1.0000,0.5220,1.0000,0.5458,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced,0.6373,1.0000,0.5803,1.0000,0.5807,1.0000,0.6242,1.0000,0.5966,1.0000,0.5803,1.0000,0.5233,1.0000,0.5511,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE,0.6154,1.0000,0.5735,1.0000,0.5731,1.0000,0.6107,1.0000,0.5796,1.0000,0.5735,1.0000,0.5317,1.0000,0.5521,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler,0.6332,1.0000,0.5831,1.0000,0.5836,1.0000,0.6241,1.0000,0.5943,1.0000,0.5831,1.0000,0.5330,1.0000,0.5575,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE,0.7074,1.0000,0.5221,1.0000,0.5125,1.0000,0.6679,1.0000,0.5453,1.0000,0.5221,1.0000,0.3368,1.0000,0.4191,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE,0.7102,1.0000,0.5221,1.0000,0.5111,1.0000,0.6686,1.0000,0.5391,1.0000,0.5221,1.0000,0.3340,1.0000,0.4172,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE,0.6855,1.0000,0.5039,1.0000,0.4938,1.0000,0.6510,1.0000,0.5124,1.0000,0.5039,1.0000,0.3222,1.0000,0.4027,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE,0.7074,1.0000,0.5221,1.0000,0.5125,1.0000,0.6679,1.0000,0.5453,1.0000,0.5221,1.0000,0.3368,1.0000,0.4191,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE,0.7102,1.0000,0.5221,1.0000,0.5111,1.0000,0.6686,1.0000,0.5391,1.0000,0.5221,1.0000,0.3340,1.0000,0.4172,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced,0.7267,1.0000,0.5349,1.0000,0.5261,1.0000,0.6818,1.0000,0.5789,1.0000,0.5349,1.0000,0.3431,1.0000,0.4283,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE,0.6855,1.0000,0.5039,1.0000,0.4938,1.0000,0.6510,1.0000,0.5124,1.0000,0.5039,1.0000,0.3222,1.0000,0.4027,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler,0.7129,1.0000,0.5463,1.0000,0.5443,1.0000,0.6841,1.0000,0.5722,1.0000,0.5463,1.0000,0.3796,1.0000,0.4550,1.0000
HistGradientBoostingClassifier,3 Classes / Normal / No Scaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,3 Classes / Normal / StandardScaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.3998,1.0000,0.3811,1.0000,0.3777,1.0000,0.3947,1.0000,0.3789,1.0000,0.3811,1.0000,0.6790,1.0000,0.5082,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE / Feature Selection,0.6318,1.0000,0.5803,1.0000,0.5813,1.0000,0.6225,1.0000,0.5912,1.0000,0.5803,1.0000,0.5288,1.0000,0.5539,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE / Feature Selection,0.6318,0.9997,0.5897,0.9997,0.5901,0.9996,0.6269,0.9997,0.5964,0.9995,0.5897,0.9997,0.5477,0.9998,0.5683,0.9998
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE / Feature Selection,0.6318,0.9997,0.5965,0.9997,0.5968,0.9996,0.6299,0.9997,0.6023,0.9995,0.5965,0.9997,0.5612,0.9998,0.5785,0.9998
HistGradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.6318,1.0000,0.5803,1.0000,0.5813,1.0000,0.6225,1.0000,0.5912,1.0000,0.5803,1.0000,0.5288,1.0000,0.5539,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.6318,0.9997,0.5897,0.9997,0.5901,0.9996,0.6269,0.9997,0.5964,0.9995,0.5897,0.9997,0.5477,0.9998,0.5683,0.9998
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.6373,0.9993,0.5820,0.9995,0.5827,0.9993,0.6254,0.9993,0.5959,0.9990,0.5820,0.9995,0.5267,0.9996,0.5536,0.9995
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.6318,0.9997,0.5965,0.9997,0.5968,0.9996,0.6299,0.9997,0.6023,0.9995,0.5965,0.9997,0.5612,0.9998,0.5785,0.9998
HistGradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6359,1.0000,0.5912,1.0000,0.5925,1.0000,0.6297,1.0000,0.6034,1.0000,0.5912,1.0000,0.5465,1.0000,0.5683,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.7019,1.0000,0.5259,1.0000,0.5218,1.0000,0.6700,1.0000,0.5475,1.0000,0.5259,1.0000,0.3499,1.0000,0.4290,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.7047,1.0000,0.5408,1.0000,0.5386,1.0000,0.6783,1.0000,0.5553,1.0000,0.5408,1.0000,0.3770,1.0000,0.4511,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.6937,1.0000,0.5336,1.0000,0.5320,1.0000,0.6708,1.0000,0.5465,1.0000,0.5336,1.0000,0.3734,1.0000,0.4461,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.7019,1.0000,0.5259,1.0000,0.5218,1.0000,0.6700,1.0000,0.5475,1.0000,0.5259,1.0000,0.3499,1.0000,0.4290,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.7047,1.0000,0.5408,1.0000,0.5386,1.0000,0.6783,1.0000,0.5553,1.0000,0.5408,1.0000,0.3770,1.0000,0.4511,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.7294,0.9997,0.5517,0.9993,0.5503,0.9995,0.6937,0.9997,0.5890,0.9998,0.5517,0.9993,0.3739,0.9990,0.4541,0.9991
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.6937,1.0000,0.5336,1.0000,0.5320,1.0000,0.6708,1.0000,0.5465,1.0000,0.5336,1.0000,0.3734,1.0000,0.4461,1.0000
HistGradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6992,1.0000,0.5409,1.0000,0.5415,1.0000,0.6773,1.0000,0.5579,1.0000,0.5409,1.0000,0.3827,1.0000,0.4549,1.0000
CatBoostClassifier,3 Classes / Normal / No Scaler / Unbalanced,0.4244,1.0000,0.3990,1.0000,0.3916,1.0000,0.4108,1.0000,0.4037,1.0000,0.3990,1.0000,0.6784,1.0000,0.5199,1.0000
CatBoostClassifier,3 Classes / Normal / StandardScaler / Unbalanced,0.4231,1.0000,0.3971,1.0000,0.3889,1.0000,0.4087,1.0000,0.4002,1.0000,0.3971,1.0000,0.6777,1.0000,0.5184,1.0000
CatBoostClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced,0.4244,1.0000,0.3990,1.0000,0.3916,1.0000,0.4108,1.0000,0.4037,1.0000,0.3990,1.0000,0.6784,1.0000,0.5199,1.0000
CatBoostClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4244,1.0000,0.3990,1.0000,0.3916,1.0000,0.4108,1.0000,0.4037,1.0000,0.3990,1.0000,0.6784,1.0000,0.5199,1.0000
CatBoostClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.4231,1.0000,0.3971,1.0000,0.3889,1.0000,0.4087,1.0000,0.4002,1.0000,0.3971,1.0000,0.6777,1.0000,0.5184,1.0000
