Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.5645,0.6332,0.5522,0.6202,0.5196,0.5855,0.5935,0.6566,0.5392,0.5923,0.5522,0.6202,0.5399,0.6072,0.5459,0.6136
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.7403,0.7555,0.5086,0.5307,0.4666,0.5022,0.6597,0.6817,0.5518,0.6474,0.5086,0.5307,0.2768,0.3060,0.3750,0.4029
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.5727,0.6305,0.5539,0.6231,0.5242,0.5855,0.5997,0.6545,0.5417,0.5940,0.5539,0.6231,0.5351,0.6156,0.5442,0.6193
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.5672,0.6305,0.5521,0.6100,0.5208,0.5793,0.5953,0.6534,0.5397,0.5851,0.5521,0.6100,0.5370,0.5895,0.5443,0.5997
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.7403,0.7548,0.5086,0.5289,0.4666,0.4988,0.6597,0.6799,0.5518,0.6423,0.5086,0.5289,0.2768,0.3030,0.3750,0.4002
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.5686,0.6325,0.5437,0.6216,0.5175,0.5859,0.5960,0.6561,0.5338,0.5932,0.5437,0.6216,0.5188,0.6107,0.5310,0.6161
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.5658,0.6322,0.5475,0.6130,0.5181,0.5816,0.5940,0.6551,0.5362,0.5874,0.5475,0.6130,0.5291,0.5938,0.5381,0.6033
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.7404,0.7545,0.4974,0.5119,0.4399,0.4592,0.6472,0.6612,0.4492,0.6392,0.4974,0.5119,0.2544,0.2693,0.3556,0.3712
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.5590,0.6346,0.5504,0.6253,0.5158,0.5886,0.5877,0.6581,0.5383,0.5959,0.5504,0.6253,0.5417,0.6160,0.5458,0.6207
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.5645,0.6332,0.5522,0.6202,0.5196,0.5855,0.5935,0.6566,0.5392,0.5923,0.5522,0.6202,0.5399,0.6072,0.5459,0.6136
RidgeClassifier,3 Classes / Normal / No Scaler / Unbalanced,0.4464,0.5326,0.4071,0.4980,0.3872,0.4934,0.4186,0.5153,0.3981,0.5286,0.4071,0.4980,0.6834,0.7292,0.5272,0.6025
RidgeClassifier,3 Classes / Normal / StandardScaler / Unbalanced,0.4450,0.5333,0.4058,0.4984,0.3861,0.4938,0.4173,0.5157,0.3972,0.5305,0.4058,0.4984,0.6822,0.7292,0.5259,0.6028
RidgeClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced,0.4505,0.5323,0.4108,0.4949,0.3908,0.4881,0.4220,0.5117,0.4064,0.5321,0.4108,0.4949,0.6841,0.7263,0.5300,0.5995
RidgeClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4464,0.5326,0.4071,0.4980,0.3872,0.4934,0.4186,0.5153,0.3981,0.5286,0.4071,0.4980,0.6834,0.7292,0.5272,0.6025
RidgeClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.4450,0.5333,0.4058,0.4984,0.3861,0.4938,0.4173,0.5157,0.3972,0.5305,0.4058,0.4984,0.6822,0.7292,0.5259,0.6028
RidgeClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.4505,0.5323,0.4108,0.4949,0.3908,0.4881,0.4220,0.5117,0.4064,0.5321,0.4108,0.4949,0.6841,0.7263,0.5300,0.5995
RidgeClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.6456,0.6978,0.5723,0.6276,0.5692,0.6307,0.6209,0.6757,0.5980,0.6719,0.5723,0.6276,0.4989,0.5573,0.5343,0.5914
RidgeClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.6030,0.6696,0.5913,0.6638,0.5838,0.6543,0.6087,0.6751,0.5866,0.6533,0.5913,0.6638,0.5796,0.6579,0.5854,0.6608
RidgeClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.6126,0.6669,0.5979,0.6610,0.5915,0.6516,0.6172,0.6724,0.5938,0.6506,0.5979,0.6610,0.5832,0.6551,0.5904,0.6580
RidgeClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.6456,0.6978,0.5723,0.6274,0.5692,0.6305,0.6209,0.6755,0.5980,0.6721,0.5723,0.6274,0.4989,0.5569,0.5343,0.5911
RidgeClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.6263,0.6734,0.6197,0.6678,0.6098,0.6582,0.6320,0.6788,0.6131,0.6570,0.6197,0.6678,0.6131,0.6622,0.6163,0.6650
RidgeClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.6139,0.6676,0.5998,0.6620,0.5930,0.6524,0.6186,0.6731,0.5956,0.6514,0.5998,0.6620,0.5857,0.6563,0.5926,0.6591
RidgeClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced,0.6525,0.6930,0.5724,0.6163,0.5671,0.6171,0.6218,0.6658,0.6125,0.6681,0.5724,0.6163,0.4924,0.5397,0.5309,0.5767
RidgeClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE,0.6222,0.6710,0.6130,0.6634,0.6044,0.6547,0.6278,0.6761,0.6064,0.6534,0.6130,0.6634,0.6039,0.6557,0.6084,0.6595
