iter	Passed	Remaining
836	666	925
837	667	925
838	667	924
839	668	923
840	669	922
841	670	921
842	670	920
843	671	920
844	672	919
845	673	918
846	673	917
847	674	916
848	675	915
849	676	914
850	676	913
851	677	913
852	678	912
853	679	911
854	680	910
855	681	910
856	682	909
857	682	908
858	683	907
859	684	907
860	685	906
861	685	905
862	686	904
863	687	903
864	688	903
865	689	902
866	689	901
867	690	900
868	691	899
869	692	899
870	692	898
871	693	897
872	694	896
873	695	895
874	695	894
875	696	893
876	697	893
877	698	892
878	699	891
879	699	890
880	700	889
881	701	888
882	702	888
883	702	887
884	703	886
885	704	885
886	705	884
887	705	883
888	706	882
889	707	882
890	707	881
891	708	880
892	709	879
893	710	878
894	711	877
895	711	877
896	712	876
897	713	875
898	714	874
899	714	873
900	715	872
901	716	872
902	717	871
903	718	870
904	719	869
905	719	869
906	720	868
907	721	867
908	722	866
909	722	865
910	723	865
911	724	864
912	725	863
913	726	862
914	726	861
915	727	860
916	728	859
917	728	859
918	729	858
919	730	857
920	731	856
921	731	855
922	732	854
923	733	854
924	734	853
925	735	852
926	735	851
927	736	851
928	737	850
929	738	849
930	739	848
931	739	847
932	740	847
933	741	846
934	742	845
935	742	844
936	743	843
937	744	842
938	744	841
939	745	840
940	746	839
941	746	838
942	747	838
943	748	837
944	749	836
945	750	835
946	751	835
947	751	834
948	752	833
949	753	832
950	754	831
951	754	830
952	755	830
953	756	829
954	757	828
955	757	827
956	758	826
957	759	825
958	760	825
959	760	824
960	761	823
961	762	822
962	763	821
963	764	821
964	764	820
965	765	819
966	766	818
967	767	817
968	768	817
969	768	816
970	769	815
971	770	814
972	771	813
973	771	812
974	772	812
975	773	811
976	774	810
977	774	809
978	775	808
979	776	807
980	777	807
981	777	806
982	778	805
983	779	804
984	780	803
985	780	802
986	781	802
987	782	801
988	783	800
989	783	799
990	784	798
991	785	798
992	786	797
993	786	796
994	787	795
995	788	794
996	789	794
997	790	793
998	790	792
999	791	791
1000	792	790
1001	793	790
1002	793	789
1003	794	788
1004	795	787
1005	796	786
1006	796	785
1007	797	785
1008	798	784
1009	799	783
1010	799	782
1011	800	781
1012	801	781
1013	802	780
1014	803	779
1015	804	778
1016	804	777
1017	805	777
1018	806	776
1019	807	775
1020	807	774
1021	808	773
1022	809	773
1023	810	772
1024	810	771
1025	811	770
1026	812	769
1027	813	768
1028	814	768
1029	814	767
1030	815	766
1031	816	765
1032	817	764
1033	817	764
1034	818	763
1035	819	762
1036	820	761
1037	820	760
1038	821	760
1039	822	759
1040	823	758
1041	824	757
1042	824	756
1043	825	755
1044	826	755
1045	827	754
1046	827	753
1047	828	752
1048	829	751
1049	829	750
1050	830	750
1051	831	749
1052	832	748
1053	832	747
1054	833	746
1055	834	745
1056	835	745
1057	836	744
1058	837	744
1059	839	744
1060	840	743
1061	840	742
1062	841	741
1063	842	741
1064	843	740
1065	844	740
1066	845	739
1067	846	738
1068	848	738
1069	849	738
1070	849	737
1071	850	736
1072	851	735
1073	852	734
1074	853	734
1075	854	733
1076	854	732
1077	855	731
1078	856	730
1079	857	730
1080	857	729
1081	858	728
1082	859	727
1083	860	726
1084	860	725
1085	861	725
1086	862	724
1087	863	723
1088	863	722
1089	864	721
1090	865	721
1091	866	720
1092	866	719
1093	867	718
1094	868	717
1095	869	716
1096	869	716
1097	870	715
1098	871	714
1099	872	713
1100	872	712
1101	873	711
1102	874	710
1103	874	709
1104	875	709
1105	876	708
1106	877	707
1107	877	706
